round: 0  loss: 1.13431660979685  Accuracy: 58.6090  Global_Accuracy: 40.8227  
round: 1  loss: 0.85505670780591  Accuracy: 54.2318  Global_Accuracy: 50.1510  
round: 2  loss: 0.74503465889957  Accuracy: 59.4013  Global_Accuracy: 54.0916  
round: 3  loss: 0.66113965378938  Accuracy: 60.9038  Global_Accuracy: 50.5561  
round: 4  loss: 0.61497765595176  Accuracy: 63.0968  Global_Accuracy: 56.1964  
round: 5  loss: 0.52184739129425  Accuracy: 61.7950  Global_Accuracy: 56.6087  
round: 6  loss: 0.47479516765168  Accuracy: 62.1381  Global_Accuracy: 58.8977  
round: 7  loss: 0.40470450680538  Accuracy: 63.5474  Global_Accuracy: 57.9591  
round: 8  loss: 0.35042453944115  Accuracy: 65.2086  Global_Accuracy: 59.4128  
round: 9  loss: 0.29876948102091  Accuracy: 60.2054  Global_Accuracy: 61.6378  
round: 10  loss: 0.27133646424858  Accuracy: 63.1390  Global_Accuracy: 62.0123 
round: 11  loss: 0.21727088983729  Accuracy: 64.4205  Global_Accuracy: 62.4655 
round: 12  loss: 0.16326950782660  Accuracy: 65.9225  Global_Accuracy: 63.0046 
round: 13  loss: 0.13341632503723  Accuracy: 65.4249  Global_Accuracy: 64.0044 
round: 14  loss: 0.12346764721125  Accuracy: 65.8283  Global_Accuracy: 62.3155 
round: 15  loss: 0.10934669334938  Accuracy: 62.7879  Global_Accuracy: 65.7318 
round: 16  loss: 0.07738362875305  Accuracy: 63.1649  Global_Accuracy: 64.0888 
round: 17  loss: 0.06345860378674  Accuracy: 66.1272  Global_Accuracy: 65.9253 
round: 18  loss: 0.06028976566840  Accuracy: 64.6642  Global_Accuracy: 65.6830 
round: 19  loss: 0.06129096007359  Accuracy: 63.9764  Global_Accuracy: 67.2759 
round: 20  loss: 0.06125478637361  Accuracy: 63.9374  Global_Accuracy: 66.6163 
round: 21  loss: 0.02952010611717  Accuracy: 66.0115  Global_Accuracy: 66.4165 
round: 22  loss: 0.03740038915139  Accuracy: 66.4172  Global_Accuracy: 67.4180 
round: 23  loss: 0.02338548434696  Accuracy: 68.4768  Global_Accuracy: 67.0981 
round: 24  loss: 0.04181585334313  Accuracy: 64.9488  Global_Accuracy: 66.6040 
round: 25  loss: 0.04300948091917  Accuracy: 64.1458  Global_Accuracy: 67.4253 
round: 26  loss: 0.03127370925822  Accuracy: 65.5628  Global_Accuracy: 68.1052 
round: 27  loss: 0.03099742424925  Accuracy: 66.8948  Global_Accuracy: 68.2190 
round: 28  loss: 0.01849089797535  Accuracy: 67.1627  Global_Accuracy: 68.2212 
round: 29  loss: 0.01632314116912  Accuracy: 67.1173  Global_Accuracy: 68.4720 
round: 30  loss: 0.01478461171857  Accuracy: 67.2213  Global_Accuracy: 68.2879 
round: 31  loss: 0.01036317336458  Accuracy: 68.7743  Global_Accuracy: 69.5411 
round: 32  loss: 0.01534726889211  Accuracy: 68.1425  Global_Accuracy: 69.4323 
round: 33  loss: 0.01237302827216  Accuracy: 68.7080  Global_Accuracy: 69.9002 
round: 34  loss: 0.01828148845260  Accuracy: 69.4243  Global_Accuracy: 69.8313 
round: 35  loss: 0.01435820001325  Accuracy: 66.5582  Global_Accuracy: 69.9106 
round: 36  loss: 0.01600065627053  Accuracy: 68.5731  Global_Accuracy: 70.4380 
round: 37  loss: 0.00621680863145  Accuracy: 69.4032  Global_Accuracy: 69.7445 
round: 38  loss: 0.01180366664926  Accuracy: 67.2321  Global_Accuracy: 70.9304 
round: 39  loss: 0.00454869723928  Accuracy: 72.3487  Global_Accuracy: 70.4814 
round: 40  loss: 0.01277789114478  Accuracy: 68.5799  Global_Accuracy: 70.2132 
round: 41  loss: 0.03680461672852  Accuracy: 68.0181  Global_Accuracy: 70.9309 
round: 42  loss: 0.00704595121359  Accuracy: 71.8423  Global_Accuracy: 71.4130 
round: 43  loss: 0.01568257481247  Accuracy: 68.8651  Global_Accuracy: 71.4786 
round: 44  loss: 0.00922281349844  Accuracy: 71.5366  Global_Accuracy: 71.4752 
round: 45  loss: 0.01030188368696  Accuracy: 71.6526  Global_Accuracy: 71.8158 
round: 46  loss: 0.00882977768648  Accuracy: 71.7226  Global_Accuracy: 71.9800 
round: 47  loss: 0.00324550263768  Accuracy: 72.9030  Global_Accuracy: 72.3110 
round: 48  loss: 0.01451021427261  Accuracy: 71.2803  Global_Accuracy: 71.6078 
round: 49  loss: 0.01357425781243  Accuracy: 71.6407  Global_Accuracy: 71.8234 
round: 50  loss: 0.00942549758491  Accuracy: 71.2252  Global_Accuracy: 71.5906 
round: 51  loss: 0.01205106567841  Accuracy: 71.6280  Global_Accuracy: 71.3222 
round: 52  loss: 0.00406278853521  Accuracy: 72.7261  Global_Accuracy: 72.0513 
round: 53  loss: 0.00609572511004  Accuracy: 72.8349  Global_Accuracy: 72.1794 
round: 54  loss: 0.01026631714395  Accuracy: 72.0475  Global_Accuracy: 71.8941 
round: 55  loss: 0.00367735578097  Accuracy: 73.2850  Global_Accuracy: 73.0133 
round: 56  loss: 0.00514551618743  Accuracy: 73.6481  Global_Accuracy: 73.0442 
round: 57  loss: 0.00184019639363  Accuracy: 75.2392  Global_Accuracy: 72.6578 
round: 58  loss: 0.00432524849772  Accuracy: 74.2191  Global_Accuracy: 73.2435 
round: 59  loss: 0.00139792374760  Accuracy: 75.2096  Global_Accuracy: 73.5679 
round: 60  loss: 0.00047238673582  Accuracy: 76.0268  Global_Accuracy: 72.7585 
round: 61  loss: 0.00451249173260  Accuracy: 74.5203  Global_Accuracy: 72.9499 
round: 62  loss: 0.00973548324487  Accuracy: 71.5637  Global_Accuracy: 73.1633 
round: 63  loss: 0.01616157983295  Accuracy: 71.4623  Global_Accuracy: 73.0329 
round: 64  loss: 0.00593614997399  Accuracy: 74.3526  Global_Accuracy: 73.6728 
round: 65  loss: 0.00578739491187  Accuracy: 74.1684  Global_Accuracy: 73.3377 
round: 66  loss: 0.00253216103556  Accuracy: 75.0996  Global_Accuracy: 73.6902 
round: 67  loss: 0.00444876951121  Accuracy: 74.6072  Global_Accuracy: 73.8340 
round: 68  loss: 0.00347041244734  Accuracy: 74.3111  Global_Accuracy: 73.3094 
round: 69  loss: 0.00314442228826  Accuracy: 75.5364  Global_Accuracy: 74.2633 
round: 70  loss: 0.00256090826354  Accuracy: 75.3474  Global_Accuracy: 73.3223 
round: 71  loss: 0.00075650550345  Accuracy: 76.4275  Global_Accuracy: 73.9626 
round: 72  loss: 0.00072894413541  Accuracy: 76.0724  Global_Accuracy: 73.7187 
round: 73  loss: 0.00746458168229  Accuracy: 73.5486  Global_Accuracy: 74.0682 
round: 74  loss: 0.00944826259584  Accuracy: 74.7140  Global_Accuracy: 73.6666 
round: 75  loss: 0.00252470185802  Accuracy: 75.1212  Global_Accuracy: 74.4898 
round: 76  loss: 0.00166508245699  Accuracy: 75.7849  Global_Accuracy: 74.1262 
round: 77  loss: 0.00042113708502  Accuracy: 76.7059  Global_Accuracy: 74.8030 
round: 78  loss: 0.00399704824525  Accuracy: 75.8707  Global_Accuracy: 74.2081 
round: 79  loss: 0.00245854879856  Accuracy: 75.7787  Global_Accuracy: 74.4764 
round: 80  loss: 0.00487968896942  Accuracy: 75.1958  Global_Accuracy: 74.8168 
round: 81  loss: 0.00036456520171  Accuracy: 76.9688  Global_Accuracy: 75.2346 
round: 82  loss: 0.01015759309461  Accuracy: 74.1646  Global_Accuracy: 73.5453 
round: 83  loss: 0.02258116657498  Accuracy: 73.1271  Global_Accuracy: 75.0831 
round: 84  loss: 0.00576279774794  Accuracy: 75.0807  Global_Accuracy: 75.3378 
round: 85  loss: 0.00043933348042  Accuracy: 77.0625  Global_Accuracy: 74.9620 
round: 86  loss: 0.00038931762645  Accuracy: 77.2537  Global_Accuracy: 75.1481 
round: 87  loss: 0.00031968921716  Accuracy: 77.3794  Global_Accuracy: 74.7793 
round: 88  loss: 0.00162129633463  Accuracy: 76.9797  Global_Accuracy: 75.1657 
round: 89  loss: 0.00031841866975  Accuracy: 77.2016  Global_Accuracy: 75.0728 
round: 90  loss: 0.00038195002981  Accuracy: 77.4844  Global_Accuracy: 75.3830 
round: 91  loss: 0.00026923410046  Accuracy: 77.5321  Global_Accuracy: 75.7047 
round: 92  loss: 0.00031088324739  Accuracy: 77.6148  Global_Accuracy: 75.2749 
round: 93  loss: 0.00296198395258  Accuracy: 75.6742  Global_Accuracy: 75.1381 
round: 94  loss: 0.01963595118530  Accuracy: 73.7424  Global_Accuracy: 75.2891 
round: 95  loss: 0.00111398462647  Accuracy: 76.7406  Global_Accuracy: 75.3413 
round: 96  loss: 0.00043726163767  Accuracy: 77.0918  Global_Accuracy: 75.0266 
round: 97  loss: 0.00122284399346  Accuracy: 75.9099  Global_Accuracy: 75.3495 
round: 98  loss: 0.00382963085512  Accuracy: 76.9312  Global_Accuracy: 75.5564 
round: 99  loss: 0.00151841037596  Accuracy: 77.2249  Global_Accuracy: 74.8818 
