round: 0  loss: 1.18888560989363  Accuracy: 55.9297  
round: 1  loss: 0.93406073438742  Accuracy: 61.0135  
round: 2  loss: 0.86391177155927  Accuracy: 57.4698  
round: 3  loss: 0.77976722023338  Accuracy: 59.0088  
round: 4  loss: 0.73756694936626  Accuracy: 63.3458  
round: 5  loss: 0.69899152318289  Accuracy: 62.5944  
round: 6  loss: 0.66965793604224  Accuracy: 62.9075  
round: 7  loss: 0.63167957520806  Accuracy: 63.2361  
round: 8  loss: 0.61009009544987  Accuracy: 61.7618  
round: 9  loss: 0.55705716381414  Accuracy: 62.6739  
round: 10  loss: 0.46722501848877  Accuracy: 64.0099 
round: 11  loss: 0.47565885698012  Accuracy: 63.4604 
round: 12  loss: 0.44693775150025  Accuracy: 62.9463 
round: 13  loss: 0.43513861368956  Accuracy: 63.2730 
round: 14  loss: 0.40646421309699  Accuracy: 63.5204 
round: 15  loss: 0.35106474608172  Accuracy: 64.9147 
round: 16  loss: 0.33973640587361  Accuracy: 63.9245 
round: 17  loss: 0.38753708159745  Accuracy: 60.1764 
round: 18  loss: 0.31535805130057  Accuracy: 65.2070 
round: 19  loss: 0.30799114675299  Accuracy: 64.4743 
round: 20  loss: 0.28604002315495  Accuracy: 65.2716 
round: 21  loss: 0.30428995233479  Accuracy: 63.4471 
round: 22  loss: 0.29796559940506  Accuracy: 65.5454 
round: 23  loss: 0.24588085607704  Accuracy: 65.0527 
round: 24  loss: 0.25839716431601  Accuracy: 63.7566 
round: 25  loss: 0.26665522974786  Accuracy: 65.0671 
round: 26  loss: 0.23383582246777  Accuracy: 57.5755 
round: 27  loss: 0.24487060572122  Accuracy: 66.0200 
round: 28  loss: 0.27809321494347  Accuracy: 62.0687 
round: 29  loss: 0.25606064851743  Accuracy: 65.5900 
round: 30  loss: 0.27028326632590  Accuracy: 65.4579 
round: 31  loss: 0.27090501996180  Accuracy: 66.1766 
round: 32  loss: 0.26672489098529  Accuracy: 66.3964 
round: 33  loss: 0.27533891609154  Accuracy: 64.3831 
round: 34  loss: 0.17505945891663  Accuracy: 61.4412 
round: 35  loss: 0.23809337364505  Accuracy: 64.1175 
round: 36  loss: 0.22348855755602  Accuracy: 63.6791 
round: 37  loss: 0.21542753207334  Accuracy: 64.1583 
round: 38  loss: 0.21990260959831  Accuracy: 68.8831 
round: 39  loss: 0.22275916952489  Accuracy: 65.9527 
round: 40  loss: 0.25878641628438  Accuracy: 62.3304 
round: 41  loss: 0.29744727492902  Accuracy: 63.4765 
round: 42  loss: 0.21049663563133  Accuracy: 65.1025 
round: 43  loss: 0.23719085963606  Accuracy: 60.8452 
round: 44  loss: 0.25109649076320  Accuracy: 60.5539 
round: 45  loss: 0.24523265264317  Accuracy: 62.0151 
round: 46  loss: 0.22077671247697  Accuracy: 68.7830 
round: 47  loss: 0.30547681467292  Accuracy: 66.4864 
round: 48  loss: 0.17254934095579  Accuracy: 63.8040 
round: 49  loss: 0.23222266827310  Accuracy: 62.1378 
round: 50  loss: 0.20950659082010  Accuracy: 66.1150 
round: 51  loss: 0.27616627800387  Accuracy: 63.3202 
round: 52  loss: 0.20580538268776  Accuracy: 62.6803 
round: 53  loss: 0.25929088584846  Accuracy: 66.2078 
round: 54  loss: 0.15979440381122  Accuracy: 68.5322 
round: 55  loss: 0.19907587303477  Accuracy: 65.7977 
round: 56  loss: 0.18769881088664  Accuracy: 61.0803 
round: 57  loss: 0.17509124170371  Accuracy: 65.1551 
round: 58  loss: 0.31239751708596  Accuracy: 66.9946 
round: 59  loss: 0.30260064573030  Accuracy: 64.7354 
round: 60  loss: 0.19364631621220  Accuracy: 65.2811 
round: 61  loss: 0.26492992926576  Accuracy: 62.4869 
round: 62  loss: 0.29545852145875  Accuracy: 64.5845 
round: 63  loss: 0.23820205528659  Accuracy: 67.9781 
round: 64  loss: 0.19527161891886  Accuracy: 68.3574 
round: 65  loss: 0.27746282909927  Accuracy: 66.8174 
round: 66  loss: 0.22940412570103  Accuracy: 63.4114 
round: 67  loss: 0.28590244539330  Accuracy: 67.3813 
round: 68  loss: 0.20754635774549  Accuracy: 66.2576 
round: 69  loss: 0.17470723648115  Accuracy: 65.7477 
round: 70  loss: 0.20564568699089  Accuracy: 66.8838 
round: 71  loss: 0.24872390266816  Accuracy: 61.4186 
round: 72  loss: 0.28716636139190  Accuracy: 66.3472 
round: 73  loss: 0.30886912523711  Accuracy: 64.2668 
round: 74  loss: 0.22186463539854  Accuracy: 64.6763 
round: 75  loss: 0.16821244094821  Accuracy: 63.3172 
round: 76  loss: 0.24750077230544  Accuracy: 61.7845 
round: 77  loss: 0.20973885893809  Accuracy: 66.1464 
round: 78  loss: 0.27735195422555  Accuracy: 64.0542 
round: 79  loss: 0.20560951927486  Accuracy: 66.3191 
round: 80  loss: 0.13851119848636  Accuracy: 71.9426 
round: 81  loss: 0.16962463367177  Accuracy: 69.0210 
round: 82  loss: 0.22815321953086  Accuracy: 65.3897 
round: 83  loss: 0.17629147261546  Accuracy: 65.3101 
round: 84  loss: 0.23398646875417  Accuracy: 71.5355 
round: 85  loss: 0.21778705595880  Accuracy: 67.1184 
round: 86  loss: 0.28654527968483  Accuracy: 70.2459 
round: 87  loss: 0.25671415013189  Accuracy: 68.0622 
round: 88  loss: 0.22492990467060  Accuracy: 70.2039 
round: 89  loss: 0.11325142242511  Accuracy: 71.8266 
round: 90  loss: 0.18228878425680  Accuracy: 67.6682 
round: 91  loss: 0.19300188443570  Accuracy: 64.5124 
round: 92  loss: 0.18280417246784  Accuracy: 64.4728 
round: 93  loss: 0.21730380431063  Accuracy: 69.9929 
round: 94  loss: 0.14292714499137  Accuracy: 69.1114 
round: 95  loss: 0.14478375907267  Accuracy: 69.1313 
round: 96  loss: 0.21134202915150  Accuracy: 66.6472 
round: 97  loss: 0.25688378967556  Accuracy: 69.6389 
round: 98  loss: 0.11283327990370  Accuracy: 68.5983 
round: 99  loss: 0.20709733506794  Accuracy: 66.6481 
