round: 0  loss: 1.06561562616993  L2: 3.91990590  Accuracy: 55.3197  
round: 1  loss: 0.81019599393767  L2: 4.48703480  Accuracy: 59.1402  
round: 2  loss: 0.73388559473325  L2: 4.93678236  Accuracy: 64.4588  
round: 3  loss: 0.66394901651276  L2: 5.24658298  Accuracy: 62.9634  
round: 4  loss: 0.58111549027377  L2: 5.39416456  Accuracy: 63.8827  
round: 5  loss: 0.54532345736377  L2: 5.61871815  Accuracy: 64.5004  
round: 6  loss: 0.46496587574313  L2: 5.56168365  Accuracy: 64.9908  
round: 7  loss: 0.39880755122599  L2: 5.52188826  Accuracy: 65.5517  
round: 8  loss: 0.34179979889011  L2: 5.39700603  Accuracy: 66.4748  
round: 9  loss: 0.28623411074745  L2: 5.22980165  Accuracy: 67.6518  
round: 10  loss: 0.23457389956721  L2: 4.97920895  Accuracy: 66.5778 
round: 11  loss: 0.20551967164566  L2: 4.67862844  Accuracy: 67.9818 
round: 12  loss: 0.14341240892311  L2: 4.19496441  Accuracy: 66.7750 
round: 13  loss: 0.12504179292721  L2: 4.08387566  Accuracy: 65.8201 
round: 14  loss: 0.11473203674337  L2: 3.93125296  Accuracy: 64.8037 
round: 15  loss: 0.10022260809385  L2: 3.68120694  Accuracy: 66.7557 
round: 16  loss: 0.08898905309941  L2: 3.62349582  Accuracy: 64.5838 
round: 17  loss: 0.07263833609915  L2: 3.17824364  Accuracy: 68.4024 
round: 18  loss: 0.06009266244863  L2: 3.06826496  Accuracy: 67.6274 
round: 19  loss: 0.05729873778160  L2: 2.94274163  Accuracy: 64.9810 
round: 20  loss: 0.05088048582437  L2: 2.85956526  Accuracy: 67.8859 
round: 21  loss: 0.04018235352823  L2: 2.60541606  Accuracy: 65.7774 
round: 22  loss: 0.01768163567588  L2: 1.62032068  Accuracy: 69.7653 
round: 23  loss: 0.03020988651997  L2: 2.24372363  Accuracy: 65.4613 
round: 24  loss: 0.03019041034220  L2: 2.18677425  Accuracy: 69.4942 
round: 25  loss: 0.03745621912511  L2: 2.12264752  Accuracy: 69.3247 
round: 26  loss: 0.02345291130605  L2: 2.03259850  Accuracy: 68.5752 
round: 27  loss: 0.02980119319240  L2: 1.96213126  Accuracy: 65.9240 
round: 28  loss: 0.03368232173026  L2: 2.28256464  Accuracy: 67.1307 
round: 29  loss: 0.02550742185806  L2: 2.04514980  Accuracy: 66.5469 
round: 30  loss: 0.01881988179445  L2: 1.62233996  Accuracy: 68.5826 
round: 31  loss: 0.01024627593039  L2: 1.01280344  Accuracy: 71.4794 
round: 32  loss: 0.02906304471079  L2: 1.92036939  Accuracy: 68.9820 
round: 33  loss: 0.00605743150158  L2: 0.80858505  Accuracy: 71.9537 
round: 34  loss: 0.00609017142179  L2: 0.88423502  Accuracy: 72.6089 
round: 35  loss: 0.01080628966734  L2: 1.00375879  Accuracy: 71.6993 
round: 36  loss: 0.01376909728363  L2: 1.32260251  Accuracy: 71.5506 
round: 37  loss: 0.01500760780378  L2: 1.06723857  Accuracy: 72.1107 
round: 38  loss: 0.03692126282703  L2: 2.02903223  Accuracy: 70.4241 
round: 39  loss: 0.00690506277104  L2: 1.02458763  Accuracy: 70.7704 
round: 40  loss: 0.00918592597717  L2: 1.14583814  Accuracy: 69.1994 
round: 41  loss: 0.01866612215370  L2: 1.08312869  Accuracy: 73.0377 
round: 42  loss: 0.01062159853241  L2: 1.17198980  Accuracy: 73.7287 
round: 43  loss: 0.02481212660507  L2: 1.72632718  Accuracy: 72.5198 
round: 44  loss: 0.00748690924691  L2: 0.96683347  Accuracy: 72.8969 
round: 45  loss: 0.01566873525643  L2: 1.55589318  Accuracy: 71.5343 
round: 46  loss: 0.01396542312620  L2: 1.45910037  Accuracy: 72.6622 
