round: 0  loss: 1.12427076671542  Accuracy: 53.7303  
round: 1  loss: 0.91019731991074  Accuracy: 58.3277  
round: 2  loss: 0.80954427468702  Accuracy: 60.2886  
round: 3  loss: 0.76011339648006  Accuracy: 58.8851  
round: 4  loss: 0.67104018766296  Accuracy: 63.9370  
round: 5  loss: 0.60659430628461  Accuracy: 62.6374  
round: 6  loss: 0.58014537868441  Accuracy: 63.3404  
round: 7  loss: 0.52846031689308  Accuracy: 64.2786  
round: 8  loss: 0.46891744656322  Accuracy: 65.8344  
round: 9  loss: 0.41798292211626  Accuracy: 64.1376  
round: 10  loss: 0.39842359850502  Accuracy: 64.8193 
round: 11  loss: 0.40815530251141  Accuracy: 65.4260 
round: 12  loss: 0.36497990861635  Accuracy: 65.2178 
round: 13  loss: 0.35580977545137  Accuracy: 64.9646 
round: 14  loss: 0.33586763755766  Accuracy: 65.1473 
round: 15  loss: 0.32996920242308  Accuracy: 65.9499 
round: 16  loss: 0.35045425128085  Accuracy: 62.1036 
round: 17  loss: 0.31965911815552  Accuracy: 65.0314 
round: 18  loss: 0.37609288194858  Accuracy: 65.9591 
round: 19  loss: 0.31712218007624  Accuracy: 62.4924 
round: 20  loss: 0.33859907913257  Accuracy: 65.7426 
round: 21  loss: 0.36392036022758  Accuracy: 66.4628 
round: 22  loss: 0.33646891494700  Accuracy: 62.0689 
round: 23  loss: 0.27693892725259  Accuracy: 63.2241 
round: 24  loss: 0.34998278500137  Accuracy: 66.0358 
round: 25  loss: 0.40270995868468  Accuracy: 65.1020 
round: 26  loss: 0.33797182023381  Accuracy: 67.5443 
round: 27  loss: 0.31955923144237  Accuracy: 64.6531 
round: 28  loss: 0.34498527175787  Accuracy: 62.9956 
round: 29  loss: 0.32768907972928  Accuracy: 67.5785 
round: 30  loss: 0.31031565766826  Accuracy: 66.5402 
round: 31  loss: 0.38105684174131  Accuracy: 64.6456 
round: 32  loss: 0.32696098057472  Accuracy: 66.8145 
round: 33  loss: 0.38904353678366  Accuracy: 67.5646 
round: 34  loss: 0.39100508702437  Accuracy: 66.6305 
round: 35  loss: 0.32347223277917  Accuracy: 64.5607 
round: 36  loss: 0.34925128117899  Accuracy: 65.5519 
round: 37  loss: 0.38616973456151  Accuracy: 66.7782 
round: 38  loss: 0.37852283762912  Accuracy: 63.4842 
round: 39  loss: 0.34804062287658  Accuracy: 68.1217 
round: 40  loss: 0.33957698726491  Accuracy: 66.7437 
round: 41  loss: 0.34594120326917  Accuracy: 66.5304 
round: 42  loss: 0.37886930356763  Accuracy: 68.5661 
round: 43  loss: 0.40964003234157  Accuracy: 67.0835 
round: 44  loss: 0.33451974845042  Accuracy: 66.1226 
round: 45  loss: 0.39270083518209  Accuracy: 68.4409 
round: 46  loss: 0.37321289318772  Accuracy: 64.4394 
round: 47  loss: 0.36287173022225  Accuracy: 64.1192 
round: 48  loss: 0.30364738390544  Accuracy: 66.6499 
round: 49  loss: 0.38116077727912  Accuracy: 67.5213 
round: 50  loss: 0.32013987233403  Accuracy: 64.0542 
round: 51  loss: 0.38134349549526  Accuracy: 68.2991 
round: 52  loss: 0.33441224826005  Accuracy: 64.2895 
round: 53  loss: 0.36154630537910  Accuracy: 67.3123 
round: 54  loss: 0.32515089072544  Accuracy: 66.5613 
round: 55  loss: 0.33417171258662  Accuracy: 68.5655 
round: 56  loss: 0.29909921671147  Accuracy: 66.2107 
round: 57  loss: 0.33474271348369  Accuracy: 67.1121 
round: 58  loss: 0.28979810249236  Accuracy: 57.0524 
round: 59  loss: 0.35732300883148  Accuracy: 64.1011 
round: 60  loss: 0.32344030706903  Accuracy: 64.5243 
round: 61  loss: 0.27315854044679  Accuracy: 69.5459 
round: 62  loss: 0.32767019664451  Accuracy: 70.3592 
round: 63  loss: 0.33654739905363  Accuracy: 69.2102 
round: 64  loss: 0.21792593423669  Accuracy: 62.5965 
round: 65  loss: 0.34956383970388  Accuracy: 66.0289 
round: 66  loss: 0.29389101285279  Accuracy: 68.6096 
round: 67  loss: 0.33773352124600  Accuracy: 66.6779 
round: 68  loss: 0.29715202728917  Accuracy: 67.7022 
round: 69  loss: 0.32816657759498  Accuracy: 70.0201 
round: 70  loss: 0.31340799524506  Accuracy: 68.5920 
round: 71  loss: 0.26960766394216  Accuracy: 66.8276 
round: 72  loss: 0.26140611350008  Accuracy: 67.2089 
round: 73  loss: 0.23091125957791  Accuracy: 69.9715 
round: 74  loss: 0.30461988972783  Accuracy: 69.1233 
round: 75  loss: 0.28188818436844  Accuracy: 66.7530 
round: 76  loss: 0.31430534541318  Accuracy: 69.6150 
round: 77  loss: 0.29948638185841  Accuracy: 61.8777 
round: 78  loss: 0.27984598576614  Accuracy: 66.3864 
round: 79  loss: 0.27944088138282  Accuracy: 68.9243 
round: 80  loss: 0.26990157279842  Accuracy: 67.6224 
round: 81  loss: 0.33647204012353  Accuracy: 66.2310 
round: 82  loss: 0.31478272191627  Accuracy: 61.4097 
round: 83  loss: 0.18956064634027  Accuracy: 71.0946 
round: 84  loss: 0.26281232688822  Accuracy: 65.5239 
round: 85  loss: 0.29965805158505  Accuracy: 72.4594 
round: 86  loss: 0.34379027574152  Accuracy: 66.8568 
round: 87  loss: 0.23881797273471  Accuracy: 69.7074 
round: 88  loss: 0.28401901520791  Accuracy: 68.9283 
round: 89  loss: 0.24936017073268  Accuracy: 63.1036 
round: 90  loss: 0.21932507162752  Accuracy: 67.7607 
round: 91  loss: 0.27192475465480  Accuracy: 74.0013
round: 92  loss: 0.30354046579912  Accuracy: 70.3121 
round: 93  loss: 0.19146290314609  Accuracy: 73.4021 
round: 94  loss: 0.27506919598957  Accuracy: 71.6130 
round: 95  loss: 0.29826171752785  Accuracy: 68.0900 
round: 96  loss: 0.21618372941593  Accuracy: 68.3296 
round: 97  loss: 0.28783590306281  Accuracy: 67.4684 
round: 98  loss: 0.26004945929739  Accuracy: 64.4286 
round: 99  loss: 0.22432663170156  Accuracy: 65.5846 
