round: 0  loss: 3.36332572893597  Accuracy: 21.9344  
round: 1  loss: 3.10662551689584  Accuracy: 22.3296  
round: 2  loss: 2.93020690694604  Accuracy: 23.5793  
round: 3  loss: 2.79513723682226  Accuracy: 25.5424  
round: 4  loss: 2.65152942969930  Accuracy: 25.8863  
round: 5  loss: 2.52970544084672  Accuracy: 26.0272  
round: 6  loss: 2.41373682554637  Accuracy: 26.2525  
round: 7  loss: 2.27887625477321  Accuracy: 26.4478  
round: 8  loss: 2.16559223083003  Accuracy: 27.9893  
round: 9  loss: 2.02693121144681  Accuracy: 27.7348  
round: 10  loss: 1.90841721657667  Accuracy: 28.3348 
round: 11  loss: 1.79141193798583  Accuracy: 29.0822 
round: 12  loss: 1.66481313218509  Accuracy: 29.0502 
round: 13  loss: 1.56462449289872  Accuracy: 29.7730 
round: 14  loss: 1.45538183680241  Accuracy: 30.3790 
round: 15  loss: 1.32424985189918  Accuracy: 30.9958 
round: 16  loss: 1.24790275792989  Accuracy: 30.6134 
round: 17  loss: 1.13704518801499  Accuracy: 30.6932 
round: 18  loss: 1.07332391094547  Accuracy: 31.5302 
round: 19  loss: 0.95708233065051  Accuracy: 32.0001 
round: 20  loss: 0.86557390436813  Accuracy: 32.7262 
round: 21  loss: 0.80178413678524  Accuracy: 31.8099 
round: 22  loss: 0.76264663888613  Accuracy: 32.9567 
round: 23  loss: 0.70516983040093  Accuracy: 33.3657 
round: 24  loss: 0.65448270035536  Accuracy: 33.0031 
round: 25  loss: 0.60555977078150  Accuracy: 33.0057 
round: 26  loss: 0.57749450329332  Accuracy: 32.0311 
round: 27  loss: 0.52256839766209  Accuracy: 33.1263 
round: 28  loss: 0.51290941201311  Accuracy: 32.7456 
round: 29  loss: 0.46827337819620  Accuracy: 32.8912 
round: 30  loss: 0.42439870736217  Accuracy: 32.3679 
round: 31  loss: 0.41372362094968  Accuracy: 32.5664 
round: 32  loss: 0.40530050810602  Accuracy: 32.5838 
round: 33  loss: 0.39973596686584  Accuracy: 32.5863 
round: 34  loss: 0.34424051744947  Accuracy: 33.0798 
round: 35  loss: 0.32394588940506  Accuracy: 32.8937 
round: 36  loss: 0.29061184738334  Accuracy: 32.0235 
round: 37  loss: 0.28285276151231  Accuracy: 32.1067 
round: 38  loss: 0.24320480057980  Accuracy: 32.6592 
round: 39  loss: 0.22984480823458  Accuracy: 32.6567 
round: 40  loss: 0.26750468474786  Accuracy: 31.8336 
round: 41  loss: 0.22703923652634  Accuracy: 32.0283 
round: 42  loss: 0.23955458959011  Accuracy: 32.7909 
round: 43  loss: 0.21935061235589  Accuracy: 32.6287 
round: 44  loss: 0.18206677800930  Accuracy: 31.9423 
round: 45  loss: 0.18278728029050  Accuracy: 33.2899 
round: 46  loss: 0.21096500557026  Accuracy: 33.0212 
round: 47  loss: 0.15384027088801  Accuracy: 33.7738 
round: 48  loss: 0.16549275845694  Accuracy: 32.5065 
round: 49  loss: 0.12174147043702  Accuracy: 33.5522 
round: 50  loss: 0.13178973541938  Accuracy: 33.8266 
round: 51  loss: 0.14228203128250  Accuracy: 32.3179 
round: 52  loss: 0.14107052404748  Accuracy: 33.0111 
round: 53  loss: 0.10825003382280  Accuracy: 32.2235 
round: 54  loss: 0.13098760621735  Accuracy: 32.1298 
round: 55  loss: 0.09949167548522  Accuracy: 35.5956 
round: 56  loss: 0.07424959813444  Accuracy: 36.3447 
round: 57  loss: 0.11153347020517  Accuracy: 36.9502 
round: 58  loss: 0.10994605376198  Accuracy: 32.5262 
round: 59  loss: 0.10296421009533  Accuracy: 35.3440 
round: 60  loss: 0.09928524482237  Accuracy: 33.0933 
round: 61  loss: 0.07621742069443  Accuracy: 35.5526 
round: 62  loss: 0.06946113488604  Accuracy: 36.8825 
round: 63  loss: 0.06909179452954  Accuracy: 34.1721 
round: 64  loss: 0.05511916918406  Accuracy: 34.9254 
round: 65  loss: 0.07837083734917  Accuracy: 35.9484 
round: 66  loss: 0.08935899206262  Accuracy: 34.7961 
