round: 0  loss: 3.40280323587253  Accuracy: 22.1927  
round: 1  loss: 3.02364095859057  Accuracy: 24.4549  
round: 2  loss: 2.79000940299130  Accuracy: 25.1413  
round: 3  loss: 2.56902548048502  Accuracy: 26.3418  
round: 4  loss: 2.31906329953834  Accuracy: 27.0202  
round: 5  loss: 2.08667224308499  Accuracy: 27.7685  
round: 6  loss: 1.79102362143089  Accuracy: 27.7340  
round: 7  loss: 1.53901651533351  Accuracy: 28.4800  
round: 8  loss: 1.25794195218023  Accuracy: 30.0238  
round: 9  loss: 1.02201990934481  Accuracy: 29.6847  
round: 10  loss: 0.84393349915361  Accuracy: 29.6121 
round: 11  loss: 0.67056451580381  Accuracy: 30.2347 
round: 12  loss: 0.52143962576176  Accuracy: 30.8005 
round: 13  loss: 0.41859059341628  Accuracy: 30.5310 
round: 14  loss: 0.35508580644272  Accuracy: 30.7271 
round: 15  loss: 0.28310509660099  Accuracy: 30.3022 
round: 16  loss: 0.22482759956473  Accuracy: 30.3985 
round: 17  loss: 0.21382122273246  Accuracy: 29.9551 
round: 18  loss: 0.16740789284390  Accuracy: 29.9075 
round: 19  loss: 0.14128991449754  Accuracy: 30.6514 
round: 20  loss: 0.12721407762980  Accuracy: 30.1688 
round: 21  loss: 0.12721254140638  Accuracy: 30.3966 
round: 22  loss: 0.13360533599633  Accuracy: 30.0933 
round: 23  loss: 0.11540219676462  Accuracy: 30.1276 
round: 24  loss: 0.09874033015491  Accuracy: 29.7867 
round: 25  loss: 0.07735359616698  Accuracy: 30.6283 
round: 26  loss: 0.07255410637914  Accuracy: 30.7694 
round: 27  loss: 0.06791496046913  Accuracy: 30.7540 
round: 28  loss: 0.06492669038267  Accuracy: 30.3314 
round: 29  loss: 0.08003897194935  Accuracy: 30.2969 
round: 30  loss: 0.05007364839665  Accuracy: 31.4536 
round: 31  loss: 0.04956741755645  Accuracy: 31.3079 
round: 32  loss: 0.06156903795065  Accuracy: 30.6460 
round: 33  loss: 0.05292946790007  Accuracy: 30.4607 
round: 34  loss: 0.03450122672831  Accuracy: 30.0251 
round: 35  loss: 0.07405224293477  Accuracy: 30.4660 
round: 36  loss: 0.04200554357293  Accuracy: 32.0440 
round: 37  loss: 0.03679336400728  Accuracy: 31.3123 
round: 38  loss: 0.05077405435573  Accuracy: 30.5751 
round: 39  loss: 0.02829352399448  Accuracy: 33.3795 
round: 40  loss: 0.04750923716157  Accuracy: 30.9137 
round: 41  loss: 0.04846934766505  Accuracy: 32.3704 
round: 42  loss: 0.03524354808512  Accuracy: 32.3983 
round: 43  loss: 0.04529633230831  Accuracy: 30.4129 
round: 44  loss: 0.03573652773569  Accuracy: 33.2434 
round: 45  loss: 0.03461782528072  Accuracy: 32.5073 
round: 46  loss: 0.02789993814067  Accuracy: 33.4910 
round: 47  loss: 0.02592111501467  Accuracy: 33.1520 
round: 48  loss: 0.04617413669081  Accuracy: 31.0442 
round: 49  loss: 0.03043782019855  Accuracy: 32.2076 
round: 50  loss: 0.02252107166164  Accuracy: 33.6290 
round: 51  loss: 0.01614050351060  Accuracy: 34.2283 
round: 52  loss: 0.01359551798602  Accuracy: 36.4212 
round: 53  loss: 0.03207160304954  Accuracy: 34.4990 
round: 54  loss: 0.01799596273872  Accuracy: 36.7935 
round: 55  loss: 0.02674104810880  Accuracy: 34.5083 
round: 56  loss: 0.03546362199058  Accuracy: 32.7187 
round: 57  loss: 0.03469699161370  Accuracy: 34.6025 
round: 58  loss: 0.01215354774970  Accuracy: 36.8379 
round: 59  loss: 0.01877821533546  Accuracy: 36.6976 
round: 60  loss: 0.01790583047045  Accuracy: 35.9841 
round: 61  loss: 0.02019880687766  Accuracy: 35.4674 
round: 62  loss: 0.01976597915395  Accuracy: 36.7672 
round: 63  loss: 0.01785497820222  Accuracy: 35.4627 
round: 64  loss: 0.03383369409561  Accuracy: 34.5467 
round: 65  loss: 0.03746803731658  Accuracy: 34.7228 
round: 66  loss: 0.02650021190770  Accuracy: 35.7611 
