round: 0  loss: 3.52033124156992  Accuracy: 19.1175  
round: 1  loss: 3.10820040330673  Accuracy: 21.0569  
round: 2  loss: 2.80688675469434  Accuracy: 23.8228  
round: 3  loss: 2.54493483994728  Accuracy: 26.4434  
round: 4  loss: 2.27254347287572  Accuracy: 26.6896  
round: 5  loss: 1.99681835370475  Accuracy: 27.5435  
round: 6  loss: 1.78285640102441  Accuracy: 27.8015  
round: 7  loss: 1.55060874847994  Accuracy: 29.8247  
round: 8  loss: 1.42404068339568  Accuracy: 29.8000  
round: 9  loss: 1.26313109880716  Accuracy: 30.8685  
round: 10  loss: 1.14806507682967  Accuracy: 30.7790 
round: 11  loss: 1.02903805646278  Accuracy: 32.0767 
round: 12  loss: 0.94869566146971  Accuracy: 32.0916 
round: 13  loss: 0.89138623225976  Accuracy: 32.0116 
round: 14  loss: 0.85508505359900  Accuracy: 31.7228 
round: 15  loss: 0.81438225597089  Accuracy: 31.8987 
round: 16  loss: 0.74904035893713  Accuracy: 32.7221 
round: 17  loss: 0.68179480990446  Accuracy: 32.6399 
round: 18  loss: 0.71856213752274  Accuracy: 33.3505 
round: 19  loss: 0.69879442655496  Accuracy: 33.0345 
round: 20  loss: 0.69830572011651  Accuracy: 33.2943 
round: 21  loss: 0.72614043786541  Accuracy: 32.4336 
round: 22  loss: 0.70190112049974  Accuracy: 34.0310 
round: 23  loss: 0.62226495114069  Accuracy: 33.5354 
round: 24  loss: 0.67622227197841  Accuracy: 33.6421 
round: 25  loss: 0.63128077792897  Accuracy: 33.6545 
round: 26  loss: 0.67568471068970  Accuracy: 33.6188 
round: 27  loss: 0.64857759614824  Accuracy: 33.7137 
round: 28  loss: 0.60502913348798  Accuracy: 33.7734 
round: 29  loss: 0.65520453166272  Accuracy: 33.7728 
round: 30  loss: 0.63417871835933  Accuracy: 33.6022 
round: 31  loss: 0.56364179932708  Accuracy: 33.5911 
round: 32  loss: 0.59478581207488  Accuracy: 33.9332 
round: 33  loss: 0.59495326206429  Accuracy: 33.2970 
round: 34  loss: 0.67227375256443  Accuracy: 33.3249 
round: 35  loss: 0.63718553728492  Accuracy: 34.2122 
round: 36  loss: 0.56024376021358  Accuracy: 34.1506 
round: 37  loss: 0.58788368181798  Accuracy: 33.3439 
round: 38  loss: 0.65314095647280  Accuracy: 34.0387 
round: 39  loss: 0.62623721462378  Accuracy: 33.0241 
round: 40  loss: 0.57629039883262  Accuracy: 34.4501 
round: 41  loss: 0.66070342544841  Accuracy: 33.5959 
round: 42  loss: 0.61272152647528  Accuracy: 33.9296 
round: 43  loss: 0.56770307396206  Accuracy: 34.0466 
round: 44  loss: 0.52808969963598  Accuracy: 33.3583 
round: 45  loss: 0.58186490843764  Accuracy: 33.4968 
round: 46  loss: 0.52911499666613  Accuracy: 34.3263 
round: 47  loss: 0.56068388669129  Accuracy: 33.9502 
round: 48  loss: 0.52933998036736  Accuracy: 32.8013 
round: 49  loss: 0.52303352907804  Accuracy: 33.5376 
round: 50  loss: 0.51963456845003  Accuracy: 33.4720 
round: 51  loss: 0.54085164570247  Accuracy: 31.4231 
round: 52  loss: 0.55312025370855  Accuracy: 33.8485 
round: 53  loss: 0.56839647141796  Accuracy: 33.3085 
round: 54  loss: 0.57223241354881  Accuracy: 32.1017 
round: 55  loss: 0.47643881524437  Accuracy: 34.1070 
round: 56  loss: 0.55571420056519  Accuracy: 33.1996 
round: 57  loss: 0.53321387978397  Accuracy: 31.8813 
round: 58  loss: 0.54610848503672  Accuracy: 33.8932 
round: 59  loss: 0.53558018419447  Accuracy: 32.8266 
round: 60  loss: 0.47691890456178  Accuracy: 33.9745 
round: 61  loss: 0.47583783856300  Accuracy: 33.4622 
round: 62  loss: 0.48218059266862  Accuracy: 33.2273 
round: 63  loss: 0.44716391067132  Accuracy: 32.4154 
round: 64  loss: 0.49299908305837  Accuracy: 33.0998 
round: 65  loss: 0.48678430852257  Accuracy: 31.9255 
round: 66  loss: 0.44726432063677  Accuracy: 33.4499 
round: 67  loss: 0.44177841357608  Accuracy: 36.0277 
round: 68  loss: 0.41737932915480  Accuracy: 32.4430 
round: 69  loss: 0.45334200636023  Accuracy: 33.4644 
round: 70  loss: 0.44142084204502  Accuracy: 31.9531 
round: 71  loss: 0.41313146422140  Accuracy: 34.6329 
round: 72  loss: 0.41946516464400  Accuracy: 34.1502 
round: 73  loss: 0.34174613249895  Accuracy: 34.9440 
round: 74  loss: 0.49116130704812  Accuracy: 32.7219 
round: 75  loss: 0.42917168495523  Accuracy: 37.3127 
round: 76  loss: 0.46123949197546  Accuracy: 35.3022 
round: 77  loss: 0.37409037128710  Accuracy: 34.7621 
round: 78  loss: 0.38705866230847  Accuracy: 35.9322 
round: 79  loss: 0.38484993114765  Accuracy: 33.9188 
round: 80  loss: 0.39574751883215  Accuracy: 36.5951 
round: 81  loss: 0.41056881955151  Accuracy: 35.5955 
round: 82  loss: 0.44094373175442  Accuracy: 33.7312 
round: 83  loss: 0.40480529852541  Accuracy: 34.3128 
round: 84  loss: 0.30744973700693  Accuracy: 36.9597 
round: 85  loss: 0.38791715911575  Accuracy: 35.1681 
round: 86  loss: 0.36504311394882  Accuracy: 34.8114 
round: 87  loss: 0.34692948261470  Accuracy: 35.2341 
round: 88  loss: 0.41425562884680  Accuracy: 36.2408 
round: 89  loss: 0.34678068602891  Accuracy: 35.3683 
round: 90  loss: 0.33680847253180  Accuracy: 34.4164 
round: 91  loss: 0.39668623444342  Accuracy: 34.7169 
round: 92  loss: 0.43522942201591  Accuracy: 35.9641 
round: 93  loss: 0.40129207566855  Accuracy: 35.8906 
round: 94  loss: 0.41028152339908  Accuracy: 38.1517 
round: 95  loss: 0.37154077178538  Accuracy: 36.7705 
round: 96  loss: 0.33795745621965  Accuracy: 38.0433 
round: 97  loss: 0.37583436372215  Accuracy: 34.2738 
round: 98  loss: 0.32957812208902  Accuracy: 39.3078 
round: 99  loss: 0.26335617694369  Accuracy: 40.4129 
